DATE,WELL_ID,OIL,GAS,WATER,DAYS_ON,WELL_NAME,FIELD,OPERATOR
2020-01-01,WELL_001,150.5,500.0,250.0,31,Smith #1,Eagle Ford,ABC Oil Co
2020-02-01,WELL_001,145.2,480.0,245.0,29,Smith #1,Eagle Ford,ABC Oil Co
2020-03-01,WELL_001,140.8,460.0,240.0,31,Smith #1,Eagle Ford,ABC Oil Co
2020-04-01,WELL_001,135.5,440.0,235.0,30,Smith #1,Eagle Ford,ABC Oil Co
2020-05-01,WELL_001,130.2,420.0,230.0,31,Smith #1,Eagle Ford,ABC Oil Co
2020-06-01,WELL_001,125.0,400.0,225.0,30,Smith #1,Eagle Ford,ABC Oil Co
2020-07-01,WELL_001,120.0,380.0,220.0,31,Smith #1,Eagle Ford,ABC Oil Co
2020-08-01,WELL_001,115.5,360.0,215.0,31,Smith #1,Eagle Ford,ABC Oil Co
2020-09-01,WELL_001,111.0,340.0,210.0,30,Smith #1,Eagle Ford,ABC Oil Co
2020-10-01,WELL_001,107.0,320.0,205.0,31,Smith #1,Eagle Ford,ABC Oil Co
2020-11-01,WELL_001,103.0,300.0,200.0,30,Smith #1,Eagle Ford,ABC Oil Co
2020-12-01,WELL_001,99.5,280.0,195.0,31,Smith #1,Eagle Ford,ABC Oil Co
2021-01-01,WELL_001,96.0,260.0,190.0,31,Smith #1,Eagle Ford,ABC Oil Co
2021-02-01,WELL_001,92.5,240.0,185.0,28,Smith #1,Eagle Ford,ABC Oil Co
2021-03-01,WELL_001,89.0,220.0,180.0,31,Smith #1,Eagle Ford,ABC Oil Co
2020-01-01,WELL_002,200.0,800.0,300.0,31,Jones #1,Eagle Ford,ABC Oil Co
2020-02-01,WELL_002,195.0,780.0,295.0,29,Jones #1,Eagle Ford,ABC Oil Co
2020-03-01,WELL_002,190.0,760.0,290.0,31,Jones #1,Eagle Ford,ABC Oil Co
2020-04-01,WELL_002,185.0,740.0,285.0,30,Jones #1,Eagle Ford,ABC Oil Co
2020-05-01,WELL_002,180.0,720.0,280.0,31,Jones #1,Eagle Ford,ABC Oil Co
2020-06-01,WELL_002,175.0,700.0,275.0,30,Jones #1,Eagle Ford,ABC Oil Co
2020-07-01,WELL_002,170.0,680.0,270.0,31,Jones #1,Eagle Ford,ABC Oil Co
2020-08-01,WELL_002,165.0,660.0,265.0,31,Jones #1,Eagle Ford,ABC Oil Co
2020-09-01,WELL_002,160.0,640.0,260.0,30,Jones #1,Eagle Ford,ABC Oil Co
2020-10-01,WELL_002,155.0,620.0,255.0,31,Jones #1,Eagle Ford,ABC Oil Co
2020-11-01,WELL_002,150.0,600.0,250.0,30,Jones #1,Eagle Ford,ABC Oil Co
2020-12-01,WELL_002,145.0,580.0,245.0,31,Jones #1,Eagle Ford,ABC Oil Co
2021-01-01,WELL_002,140.0,560.0,240.0,31,Jones #1,Eagle Ford,ABC Oil Co
2021-02-01,WELL_002,135.0,540.0,235.0,28,Jones #1,Eagle Ford,ABC Oil Co
2021-03-01,WELL_002,130.0,520.0,230.0,31,Jones #1,Eagle Ford,ABC Oil Co
2020-01-01,WELL_003,120.0,400.0,200.0,31,Brown #1,Eagle Ford,ABC Oil Co
2020-02-01,WELL_003,116.0,380.0,195.0,29,Brown #1,Eagle Ford,ABC Oil Co
2020-03-01,WELL_003,112.0,360.0,190.0,31,Brown #1,Eagle Ford,ABC Oil Co
2020-04-01,WELL_003,108.0,340.0,185.0,30,Brown #1,Eagle Ford,ABC Oil Co
2020-05-01,WELL_003,104.0,320.0,180.0,31,Brown #1,Eagle Ford,ABC Oil Co
2020-06-01,WELL_003,100.0,300.0,175.0,30,Brown #1,Eagle Ford,ABC Oil Co
2020-07-01,WELL_003,96.0,280.0,170.0,31,Brown #1,Eagle Ford,ABC Oil Co
2020-08-01,WELL_003,92.0,260.0,165.0,31,Brown #1,Eagle Ford,ABC Oil Co
2020-09-01,WELL_003,88.0,240.0,160.0,30,Brown #1,Eagle Ford,ABC Oil Co
2020-10-01,WELL_003,84.0,220.0,155.0,31,Brown #1,Eagle Ford,ABC Oil Co
2020-11-01,WELL_003,80.0,200.0,150.0,30,Brown #1,Eagle Ford,ABC Oil Co
2020-12-01,WELL_003,76.0,180.0,145.0,31,Brown #1,Eagle Ford,ABC Oil Co
2021-01-01,WELL_003,72.0,160.0,140.0,31,Brown #1,Eagle Ford,ABC Oil Co
2021-02-01,WELL_003,68.0,140.0,135.0,28,Brown #1,Eagle Ford,ABC Oil Co
2021-03-01,WELL_003,64.0,120.0,130.0,31,Brown #1,Eagle Ford,ABC Oil Co
